x,y,z,T,tt
4140,9510,2622.5,0.45833333,-0.003987016
3920,9530,2607.5,0.78625,0.323929654
3900,9530,2622.5,0.35,-0.112320346
3920,9530,2622.5,0.785625,0.323304654
3900,9550,2622.5,0.45,-0.012320346
3920,9550,2622.5,0.616875,0.154554654
3940,9530,2607.5,1.7,1.237679654
3960,9530,2607.5,1.45,0.987679654
3960,9550,2607.5,1.29,0.827679654
3940,9530,2622.5,1.64,1.177679654
3960,9530,2622.5,1.66,1.197679654
3940,9550,2622.5,1.43,0.967679654
3960,9550,2622.5,1.25,0.787679654
3980,9530,2607.5,1.22,0.757679654
4000,9530,2607.5,1.06,0.597679654
3980,9550,2607.5,1.2,0.737679654
4000,9550,2607.5,0.89,0.427679654
3980,9530,2622.5,1.35,0.887679654
4000,9530,2622.5,1.06,0.597679654
3980,9550,2622.5,1.04,0.577679654
4000,9550,2622.5,0.94,0.477679654
4020,9530,2607.5,1.05,0.587679654
4040,9530,2607.5,0.9,0.437679654
4020,9550,2607.5,0.89,0.427679654
4040,9550,2607.5,0.81,0.347679654
4020,9530,2622.5,1.14,0.677679654
4040,9530,2622.5,1.16,0.697679654
4020,9550,2622.5,0.87,0.407679654
4040,9550,2622.5,0.97,0.507679654
4060,9530,2607.5,0.925,0.462679654
4080,9530,2607.5,0.74604167,0.283721324
4060,9550,2607.5,0.765,0.302679654
4080,9550,2607.5,0.53,0.067679654
4060,9530,2622.5,1.14416667,0.681846324
4080,9530,2622.5,0.755,0.292679654
4060,9550,2622.5,0.955,0.492679654
4080,9550,2622.5,0.67458333,0.212262984
4100,9530,2622.5,0.44,-0.022320346
4120,9530,2622.5,0.49,0.027679654
4100,9550,2622.5,0.44,-0.022320346
3900,9570,2622.5,0.47,0.007679654
3920,9570,2622.5,0.38,-0.082320346
3900,9590,2622.5,0.44,-0.022320346
3920,9590,2622.5,0.46,-0.002320346
3960,9570,2607.5,1.35,0.887679654
3960,9590,2607.5,1.14,0.677679654
3940,9570,2622.5,1.22291667,0.760596324
3960,9570,2622.5,1.24,0.777679654
3940,9590,2622.5,0.94541667,0.483096324
3960,9590,2622.5,0.93,0.467679654
3980,9570,2607.5,1.11,0.647679654
4000,9570,2607.5,0.84,0.377679654
3980,9590,2607.5,1.02,0.557679654
4000,9590,2607.5,0.87,0.407679654
3980,9570,2622.5,1,0.537679654
4000,9570,2622.5,0.99,0.527679654
3980,9590,2622.5,0.82,0.357679654
4000,9590,2622.5,1.01,0.547679654
4020,9570,2607.5,0.84,0.377679654
4040,9570,2607.5,0.7,0.237679654
4020,9590,2607.5,0.7575,0.295179654
4040,9590,2607.5,0.63625,0.173929654
4020,9570,2622.5,0.75,0.287679654
4040,9570,2622.5,0.84,0.377679654
4020,9590,2622.5,0.79,0.327679654
4040,9590,2622.5,0.64875,0.186429654
4060,9570,2607.5,0.65666667,0.194346324
4080,9570,2607.5,0.5025,0.040179654
4060,9590,2607.5,0.43625,-0.026070346
4080,9590,2607.5,0.4,-0.062320346
4060,9570,2622.5,0.794375,0.332054654
4080,9570,2622.5,0.61916667,0.156846324
4060,9590,2622.5,0.65666667,0.194346324
4080,9590,2622.5,0.38583333,-0.076487016
4100,9590,2607.5,0.36479167,-0.097528676
4100,9570,2622.5,0.506875,0.044554654
4100,9590,2622.5,0.34,-0.122320346
3880,9610,2622.5,0.37,-0.092320346
3880,9630,2622.5,0.38,-0.082320346
3900,9610,2622.5,0.48,0.017679654
3920,9610,2622.5,0.40958333,-0.052737016
3900,9630,2622.5,0.4,-0.062320346
3920,9630,2622.5,0.41,-0.052320346
3960,9610,2607.5,1.10958333,0.647262984
3960,9630,2607.5,0.91,0.447679654
3940,9610,2622.5,0.9625,0.500179654
3960,9610,2622.5,1.33,0.867679654
3940,9630,2622.5,0.86729167,0.404971324
3960,9630,2622.5,1.04,0.577679654
3980,9610,2607.5,1.109375,0.647054654
4000,9610,2607.5,0.77416667,0.311846324
3980,9630,2607.5,0.674375,0.212054654
4000,9630,2607.5,0.69,0.227679654
3980,9610,2622.5,1.1,0.637679654
4000,9610,2622.5,0.9,0.437679654
3980,9630,2622.5,0.78583333,0.323512984
4000,9630,2622.5,0.88645833,0.424137984
4020,9610,2607.5,0.59291667,0.130596324
4040,9610,2607.5,0.58666667,0.124346324
4020,9630,2607.5,0.58,0.117679654
4040,9630,2607.5,0.58416667,0.121846324
4020,9610,2622.5,0.76416667,0.301846324
4040,9610,2622.5,0.66,0.197679654
4020,9630,2622.5,0.66854167,0.206221324
4040,9630,2622.5,0.6375,0.175179654
4060,9610,2607.5,0.44354167,-0.018778676
4080,9610,2607.5,0.35,-0.112320346
4060,9630,2607.5,0.40375,-0.058570346
4080,9630,2607.5,0.38,-0.082320346
4060,9610,2622.5,0.53541667,0.073096324
4080,9610,2622.5,0.48,0.017679654
4060,9630,2622.5,0.47,0.007679654
4080,9630,2622.5,0.46,-0.002320346
4100,9610,2607.5,0.355,-0.107320346
4100,9610,2622.5,0.325,-0.137320346
4100,9630,2622.5,0.35229167,-0.110028676
3900,9650,2622.5,0.36,-0.102320346
3920,9650,2622.5,0.37,-0.092320346
3900,9670,2622.5,0.410625,-0.051695346
3920,9670,2622.5,0.34,-0.122320346
3960,9650,2607.5,0.72291667,0.260596324
3960,9670,2607.5,0.65604167,0.193721324
3940,9650,2622.5,0.716875,0.254554654
3960,9650,2622.5,0.865,0.402679654
3940,9670,2622.5,0.60270833,0.140387984
3960,9670,2622.5,0.76,0.297679654
3980,9650,2607.5,0.61,0.147679654
4000,9650,2607.5,0.659375,0.197054654
3980,9670,2607.5,0.6,0.137679654
4000,9670,2607.5,0.6075,0.145179654
3980,9650,2622.5,0.79958333,0.337262984
4000,9650,2622.5,0.71875,0.256429654
3980,9670,2622.5,0.8,0.337679654
4000,9670,2622.5,0.635,0.172679654
4020,9650,2607.5,0.56083333,0.098512984
4040,9650,2607.5,0.54895833,0.086637984
4020,9670,2607.5,0.57,0.107679654
4040,9670,2607.5,0.61,0.147679654
4020,9650,2622.5,0.6575,0.195179654
4040,9650,2622.5,0.58458333,0.122262984
4020,9670,2622.5,0.72,0.257679654
4040,9670,2622.5,0.6275,0.165179654
4060,9650,2607.5,0.38520833,-0.077112016
4080,9650,2607.5,0.45,-0.012320346
4060,9670,2607.5,0.46,-0.002320346
4080,9670,2607.5,0.39,-0.072320346
4060,9650,2622.5,0.450625,-0.011695346
4080,9650,2622.5,0.43,-0.032320346
4060,9670,2622.5,0.52,0.057679654
4080,9670,2622.5,0.41,-0.052320346
4100,9650,2622.5,0.41,-0.052320346
4100,9670,2622.5,0.46,-0.002320346
3900,9690,2622.5,0.449375,-0.012945346
3920,9690,2622.5,0.36,-0.102320346
3900,9710,2622.5,0.41916667,-0.043153676
3920,9710,2622.5,0.42666667,-0.035653676
3960,9690,2607.5,0.58458333,0.122262984
3940,9690,2622.5,0.421875,-0.040445346
3960,9690,2622.5,0.68625,0.223929654
3940,9710,2622.5,0.38104167,-0.081278676
3960,9710,2622.5,0.52416667,0.061846324
3980,9690,2607.5,0.64916667,0.186846324
4000,9690,2607.5,0.635,0.172679654
3980,9710,2607.5,0.58,0.117679654
4000,9710,2607.5,0.65416667,0.191846324
3980,9690,2622.5,0.79354167,0.331221324
4000,9690,2622.5,0.66,0.197679654
3980,9710,2622.5,0.72020833,0.257887984
4000,9710,2622.5,0.81708333,0.354762984
4020,9690,2607.5,0.56,0.097679654
4040,9690,2607.5,0.59625,0.133929654
4020,9710,2607.5,0.70958333,0.247262984
4040,9710,2607.5,0.58166667,0.119346324
4020,9690,2622.5,0.71,0.247679654
4040,9690,2622.5,0.55,0.087679654
4020,9710,2622.5,0.77666667,0.314346324
4040,9710,2622.5,0.58583333,0.123512984
4060,9690,2607.5,0.54375,0.081429654
4080,9690,2607.5,0.44,-0.022320346
4060,9710,2607.5,0.59166667,0.129346324
4080,9710,2607.5,0.46,-0.002320346
4060,9690,2622.5,0.54208333,0.079762984
4080,9690,2622.5,0.44020833,-0.022112016
4060,9710,2622.5,0.6175,0.155179654
4080,9710,2622.5,0.45145833,-0.010862016
4100,9690,2622.5,0.52,0.057679654
4100,9710,2622.5,0.43,-0.032320346
3900,9730,2622.5,0.4,-0.062320346
3920,9730,2622.5,0.48,0.017679654
3900,9750,2622.5,0.42,-0.042320346
3920,9750,2622.5,0.520625,0.058304654
3940,9750,2607.5,0.49375,0.031429654
3940,9730,2622.5,0.44083333,-0.021487016
3960,9730,2622.5,0.525625,0.063304654
3940,9750,2622.5,0.525625,0.063304654
3960,9750,2622.5,0.52,0.057679654
3980,9730,2607.5,0.505,0.042679654
4000,9730,2607.5,0.7875,0.325179654
4000,9750,2607.5,0.85354167,0.391221324
3980,9730,2622.5,0.70145833,0.239137984
4000,9730,2622.5,0.95020833,0.487887984
3980,9750,2622.5,0.66083333,0.198512984
4000,9750,2622.5,0.9525,0.490179654
4020,9730,2607.5,0.62395833,0.161637984
4040,9730,2607.5,0.655,0.192679654
4020,9750,2607.5,0.69104167,0.228721324
4040,9750,2607.5,0.65,0.187679654
4020,9730,2622.5,0.66416667,0.201846324
4040,9730,2622.5,0.57083333,0.108512984
4020,9750,2622.5,0.70375,0.241429654
4040,9750,2622.5,0.56458333,0.102262984
4060,9730,2607.5,0.59375,0.131429654
4080,9730,2607.5,0.57,0.107679654
4060,9750,2607.5,0.63458333,0.172262984
4080,9750,2607.5,0.58,0.117679654
4060,9730,2622.5,0.59,0.127679654
4080,9730,2622.5,0.47104167,0.008721324
4060,9750,2622.5,0.534375,0.072054654
4080,9750,2622.5,0.61,0.147679654
4100,9730,2622.5,0.38,-0.082320346
4100,9750,2622.5,0.47,0.007679654
3920,9770,2607.5,0.49833333,0.036012984
3920,9790,2607.5,0.59125,0.128929654
3900,9770,2622.5,0.36,-0.102320346
3920,9770,2622.5,0.50041667,0.038096324
3900,9790,2622.5,0.35,-0.112320346
3920,9790,2622.5,0.48,0.017679654
3940,9770,2607.5,0.45270833,-0.009612016
3960,9770,2607.5,0.47,0.007679654
3940,9790,2607.5,0.46770833,0.005387984
3940,9770,2622.5,0.53625,0.073929654
3960,9770,2622.5,0.49625,0.033929654
3940,9790,2622.5,0.50854167,0.046221324
3960,9790,2622.5,0.49958333,0.037262984
3980,9770,2607.5,0.548125,0.085804654
4000,9770,2607.5,0.8,0.337679654
3980,9790,2607.5,0.52,0.057679654
4000,9790,2607.5,0.67125,0.208929654
3980,9770,2622.5,0.61083333,0.148512984
4000,9770,2622.5,0.785,0.322679654
3980,9790,2622.5,0.59291667,0.130596324
4000,9790,2622.5,0.68,0.217679654
4020,9770,2607.5,0.63,0.167679654
4040,9770,2607.5,0.63083333,0.168512984
4020,9790,2607.5,0.50916667,0.046846324
4040,9790,2607.5,0.51,0.047679654
4020,9770,2622.5,0.61916667,0.156846324
4040,9770,2622.5,0.56166667,0.099346324
4020,9790,2622.5,0.60270833,0.140387984
4040,9790,2622.5,0.53,0.067679654
4060,9770,2607.5,0.56520833,0.102887984
4060,9790,2607.5,0.58291667,0.120596324
4060,9770,2622.5,0.50666667,0.044346324
4080,9770,2622.5,0.49,0.027679654
4060,9790,2622.5,0.45458333,-0.007737016
4080,9790,2622.5,0.45,-0.012320346
4100,9770,2622.5,0.58,0.117679654
4100,9790,2622.5,0.55,0.087679654
3920,9810,2607.5,0.49645833,0.034137984
3920,9830,2607.5,0.37,-0.092320346
3900,9810,2622.5,0.29854167,-0.163778676
3920,9810,2622.5,0.42604167,-0.036278676
3900,9830,2622.5,0.28395833,-0.178362016
3920,9830,2622.5,0.335,-0.127320346
3940,9810,2607.5,0.50416667,0.041846324
3960,9810,2607.5,0.480625,0.018304654
3940,9830,2607.5,0.50083333,0.038512984
3960,9830,2607.5,0.57916667,0.116846324
3940,9810,2622.5,0.5325,0.070179654
3960,9810,2622.5,0.53,0.067679654
3940,9830,2622.5,0.46,-0.002320346
3960,9830,2622.5,0.58729167,0.124971324
3980,9810,2607.5,0.475,0.012679654
4000,9810,2607.5,0.7,0.237679654
3980,9830,2607.5,0.50833333,0.046012984
4000,9830,2607.5,0.62,0.157679654
3980,9810,2622.5,0.57,0.107679654
4000,9810,2622.5,0.69,0.227679654
3980,9830,2622.5,0.51604167,0.053721324
4000,9830,2622.5,0.65541667,0.193096324
4020,9810,2607.5,0.5575,0.095179654
4040,9810,2607.5,0.39,-0.072320346
4020,9830,2607.5,0.59166667,0.129346324
4040,9830,2607.5,0.40104167,-0.061278676
4020,9810,2622.5,0.57333333,0.111012984
4040,9810,2622.5,0.38,-0.082320346
4020,9830,2622.5,0.56375,0.101429654
4040,9830,2622.5,0.39625,-0.066070346
4060,9810,2607.5,0.45020833,-0.012112016
4060,9810,2622.5,0.469375,0.007054654
4080,9810,2622.5,0.39,-0.072320346
4060,9830,2622.5,0.47333333,0.011012984
4080,9830,2622.5,0.45,-0.012320346
4100,9810,2622.5,0.72,0.257679654
4100,9830,2622.5,0.75,0.287679654
3920,9850,2607.5,0.29,-0.172320346
3920,9850,2622.5,0.31,-0.152320346
3900,9870,2622.5,0.3,-0.162320346
3920,9870,2622.5,0.27625,-0.186070346
3940,9850,2607.5,0.54125,0.078929654
3960,9850,2607.5,0.51041667,0.048096324
3940,9870,2607.5,0.63583333,0.173512984
3960,9870,2607.5,0.58,0.117679654
3940,9850,2622.5,0.40520833,-0.057112016
3960,9850,2622.5,0.65,0.187679654
3940,9870,2622.5,0.46645833,0.004137984
3960,9870,2622.5,0.5875,0.125179654
3980,9850,2607.5,0.54520833,0.082887984
4000,9850,2607.5,0.63625,0.173929654
3980,9870,2607.5,0.6,0.137679654
4000,9870,2607.5,0.72770833,0.265387984
3980,9850,2622.5,0.42375,-0.038570346
4000,9850,2622.5,0.58125,0.118929654
3980,9870,2622.5,0.50791667,0.045596324
4000,9870,2622.5,0.72770833,0.265387984
4020,9850,2607.5,0.66166667,0.199346324
4040,9850,2607.5,0.38,-0.082320346
4020,9870,2607.5,0.66,0.197679654
4020,9850,2622.5,0.65166667,0.189346324
4040,9850,2622.5,0.35395833,-0.108362016
4020,9870,2622.5,0.65,0.187679654
4040,9870,2622.5,0.46,-0.002320346
4060,9850,2622.5,0.39,-0.072320346
4080,9850,2622.5,0.46,-0.002320346
4100,9850,2622.5,0.77,0.307679654
3880,9910,2622.5,0.37,-0.092320346
3900,9890,2622.5,0.41,-0.052320346
